	sample1	sample10	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
sample1	1	0.38	0.43	0.38	0.39	0.32	0.69	0.69	0.69	0.38
sample10	0.38	1	0.65	0.99	0.54	0.53	0.49	0.49	0.49	0.99
sample2	0.43	0.65	1	0.64	0.56	0.58	0.53	0.53	0.53	0.64
sample3	0.38	0.99	0.64	1	0.53	0.54	0.48	0.48	0.48	1
sample4	0.39	0.54	0.56	0.53	1	0.6	0.47	0.47	0.47	0.53
sample5	0.32	0.53	0.58	0.54	0.6	1	0.39	0.39	0.39	0.54
sample6	0.69	0.49	0.53	0.48	0.47	0.39	1	1	1	0.48
sample7	0.69	0.49	0.53	0.48	0.47	0.39	1	1	1	0.48
sample8	0.69	0.49	0.53	0.48	0.47	0.39	1	1	1	0.48
sample9	0.38	0.99	0.64	1	0.53	0.54	0.48	0.48	0.48	1
